,house_of_reps_democrats,house_of_reps_republicans,senate_democrats,senate_republicans,start_year
0,28.0,37.0,8.0,18.0,1789
1,30.0,39.0,13.0,16.0,1791
2,54.0,51.0,14.0,16.0,1793
3,59.0,47.0,11.0,21.0,1795
4,49.0,57.0,10.0,22.0,1797
5,46.0,60.0,10.0,22.0,1799
6,68.0,38.0,17.0,15.0,1801
7,103.0,39.0,25.0,9.0,1803
8,114.0,28.0,27.0,7.0,1805
9,116.0,26.0,28.0,6.0,1807
10,92.0,50.0,27.0,7.0,1809
11,107.0,36.0,30.0,6.0,1811
12,114.0,68.0,28.0,8.0,1813
13,119.0,64.0,26.0,12.0,1815
14,146.0,39.0,30.0,12.0,1817
15,160.0,26.0,37.0,9.0,1819
16,155.0,32.0,44.0,4.0,1821
17,189.0,24.0,43.0,5.0,1823
18,104.0,109.0,26.0,22.0,1825
19,113.0,100.0,27.0,21.0,1827
20,136.0,72.0,25.0,23.0,1829
21,126.0,66.0,24.0,22.0,1831
22,143.0,63.0,20.0,26.0,1833
23,143.0,75.0,26.0,24.0,1835
24,128.0,100.0,35.0,17.0,1837
25,125.0,109.0,30.0,22.0,1839
26,98.0,142.0,22.0,29.0,1841
27,147.0,72.0,23.0,29.0,1843
28,142.0,79.0,34.0,22.0,1845
29,110.0,116.0,38.0,21.0,1847
30,113.0,108.0,35.0,25.0,1849
31,127.0,85.0,36.0,23.0,1851
32,157.0,71.0,38.0,22.0,1853
33,83.0,100.0,39.0,21.0,1855
34,131.0,94.0,39.0,20.0,1857
35,101.0,113.0,38.0,26.0,1859
36,42.0,106.0,11.0,31.0,1861
37,80.0,103.0,12.0,29.0,1863
38,46.0,145.0,10.0,42.0,1865
39,49.0,143.0,11.0,42.0,1867
40,73.0,170.0,11.0,61.0,1869
41,104.0,136.0,17.0,57.0,1871
42,88.0,203.0,19.0,54.0,1873
43,181.0,107.0,29.0,46.0,1875
44,156.0,137.0,36.0,39.0,1877
45,150.0,128.0,43.0,33.0,1879
46,130.0,152.0,37.0,37.0,1881
47,200.0,119.0,36.0,40.0,1883
48,182.0,140.0,34.0,41.0,1885
49,170.0,151.0,37.0,39.0,1887
50,156.0,173.0,37.0,47.0,1889
51,231.0,88.0,39.0,47.0,1891
52,220.0,126.0,44.0,38.0,1893
53,104.0,246.0,39.0,44.0,1895
54,134.0,206.0,34.0,46.0,1897
55,163.0,185.0,26.0,53.0,1899
56,153.0,198.0,29.0,56.0,1901
57,178.0,207.0,32.0,58.0,1903
58,136.0,250.0,32.0,58.0,1905
59,164.0,222.0,29.0,61.0,1907
60,172.0,219.0,32.0,59.0,1909
61,228.0,162.0,42.0,49.0,1911
62,290.0,127.0,51.0,44.0,1913
63,231.0,193.0,56.0,39.0,1915
64,210.0,216.0,53.0,42.0,1917
65,191.0,237.0,47.0,48.0,1919
66,132.0,300.0,37.0,59.0,1921
67,207.0,225.0,43.0,51.0,1923
68,183.0,247.0,40.0,54.0,1925
69,195.0,237.0,47.0,48.0,1927
70,163.0,267.0,39.0,56.0,1929
71,217.0,217.0,47.0,48.0,1931
72,313.0,117.0,59.0,36.0,1933
73,322.0,103.0,69.0,25.0,1935
74,333.0,89.0,75.0,17.0,1937
75,262.0,169.0,69.0,23.0,1939
76,267.0,162.0,66.0,28.0,1941
77,222.0,209.0,57.0,38.0,1943
78,243.0,190.0,57.0,38.0,1945
79,188.0,246.0,45.0,51.0,1947
80,263.0,171.0,54.0,42.0,1949
81,234.0,199.0,48.0,47.0,1951
82,213.0,221.0,46.0,48.0,1953
83,232.0,203.0,48.0,47.0,1955
84,234.0,201.0,49.0,47.0,1957
85,283.0,153.0,64.0,34.0,1959
86,262.0,175.0,64.0,36.0,1961
87,258.0,176.0,67.0,33.0,1963
88,295.0,140.0,68.0,32.0,1965
89,247.0,187.0,64.0,36.0,1967
90,243.0,192.0,58.0,42.0,1969
91,255.0,180.0,54.0,44.0,1971
92,242.0,192.0,56.0,42.0,1973
93,291.0,144.0,61.0,37.0,1975
94,292.0,143.0,61.0,38.0,1977
95,277.0,158.0,58.0,41.0,1979
96,242.0,192.0,46.0,53.0,1981
97,269.0,166.0,46.0,54.0,1983
98,253.0,182.0,47.0,53.0,1985
99,258.0,177.0,55.0,45.0,1987
100,260.0,175.0,55.0,45.0,1989
101,267.0,167.0,56.0,44.0,1991
102,258.0,176.0,57.0,43.0,1993
103,204.0,230.0,47.0,53.0,1995
104,206.0,227.0,45.0,55.0,1997
105,211.0,223.0,45.0,55.0,1999
106,212.0,221.0,50.0,49.5,2001
107,205.0,229.0,48.0,51.0,2003
108,202.0,232.0,44.0,55.0,2005
109,233.0,202.0,49.0,49.0,2007
110,257.0,178.0,57.0,41.0,2009
111,193.0,242.0,51.0,47.0,2011
112,201.0,234.0,53.0,45.0,2013
113,188.0,247.0,44.0,54.0,2015
114,194.0,241.0,46.5,51.5,2017
115,235.0,198.0,45.0,53.0,2019
